nome_produto,preco_produto,quantidade_vendida,nome_vendedor,status_vendedor,reputacao_cor,reviews_nota_media,reviews_quantidade_total,reviews_5_estrelas_pct,reviews_4_estrelas_pct,reviews_3_estrelas_pct,reviews_2_estrelas_pct,reviews_1_estrelas_pct,url_produto
Tinta Stk Premium Gt53 581 517 Gt51 416 412 Para Hp 1l Litro Tinta 1x100ML 1xLITRO Preto,"43,90",50,STK,+10mil vendas,Verde,5.0,4,100.0,0.0,0.0,0.0,0.0,https://www.mercadolivre.com.br/tinta-stk-premium-gt53-581-517-gt51-416-412-para-hp-1l-litro-tinta-1x100ml-1xlitro-preto/p/MLB50922125#polycard_client=search-nordic&search_layout=grid&position=25&type=product&tracking_id=47d9977b-38e6-4049-a1b5-fcaeff2f2910&wid=MLB4085812459&sid=search
Tinta Universal Pra Recarga De Cartucho Com 100ml Kit C/4 Formulabs Hp Canon Epson Pirelli,"29,75",50,Print Loja,+10mil vendas,Verde,4.3,3,33.33,66.67,0.0,0.0,0.0,https://www.mercadolivre.com.br/tinta-universal-pra-recarga-de-cartucho-com-100ml-kit-c4-formulabs-hp-canon-epson-pirelli/p/MLB35975561#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=47d9977b-38e6-4049-a1b5-fcaeff2f2910&wid=MLB3664415219&sid=search
Cartucho Tinta Hp 664 Color F6v28ab F6v28a 1115 4536 2136,"121,58",25,Tec Print,+100mil vendas,Verde,3.7,3,66.67,0.0,0.0,0.0,33.33,https://produto.mercadolivre.com.br/MLB-4316309866-cartucho-tinta-hp-664-color-f6v28ab-f6v28a-1115-4536-2136-_JM#is_advertising=true&backend_model=search-backend&position=19&search_layout=grid&type=pad&tracking_id=a1ba95f9-c922-4a4c-bf02-f9082815bc94&ad_domain=VQCATCORE_LST&ad_position=19&ad_click_id=YzUwODk2YWItNzc0Zi00NzkwLTgzZWQtN2VhOGViYTk0YjI3
Kit 03 Cartucho Tinta Original Hp 664- 2 Preto / 1 Colorido,"254,90",100,Tec Print,+100mil vendas,Verde,4.9,21,90.48,9.52,0.0,0.0,0.0,https://produto.mercadolivre.com.br/MLB-1888944944-kit-03-cartucho-tinta-original-hp-664-2-preto-1-colorido-_JM#is_advertising=true&backend_model=search-backend&position=12&search_layout=grid&type=pad&tracking_id=a1ba95f9-c922-4a4c-bf02-f9082815bc94&ad_domain=VQCATCORE_LST&ad_position=12&ad_click_id=MmFjMjQ5MWUtNzIzYy00ZTQ1LTg0MTAtZjc2YTI3OTFkNzEz
Kit Cartucho Tinta Original Hp 664 Preto + 664 Colorido 2676,"187,84",100,Tec Print,+100mil vendas,Verde,4.5,57,78.95,7.02,5.26,1.75,7.02,https://produto.mercadolivre.com.br/MLB-4316322696-kit-cartucho-tinta-original-hp-664-preto-664-colorido-2676-_JM#is_advertising=true&backend_model=search-backend&position=11&search_layout=grid&type=pad&tracking_id=a1ba95f9-c922-4a4c-bf02-f9082815bc94&ad_domain=VQCATCORE_LST&ad_position=11&ad_click_id=OGFlMDE2NDYtMDRhZi00ZjI0LWIyZDMtY2EwNmZhZmVhZjQ5
Kit Cartucho Hp 667 Preto E 667 Colorido 2376 2776,"139,90",0,MELIMELI12,MercadoLíder,Verde,4.7,282,87.23,6.03,2.84,1.06,2.84,https://www.mercadolivre.com.br/kit-cartucho-hp-667-preto-e-667-colorido-2376-2776/p/MLB39019456?pdp_filters=item_id:MLB3859516431#is_advertising=true&searchVariation=MLB39019456&backend_model=search-backend&position=2&search_layout=grid&type=pad&tracking_id=a1ba95f9-c922-4a4c-bf02-f9082815bc94&ad_domain=VQCATCORE_LST&ad_position=2&ad_click_id=YzU3NTQ2OTMtNGZkMy00OGZjLTgyZTMtN2MyOWUwNTljZTU2
Cartucho de tinta preto e tricolor HP 664 de 2 ml 2 unidades,"179,78",0,informticaponto,MercadoLíder,Verde,4.7,4,86.47,7.33,2.24,0.81,3.15,https://www.mercadolivre.com.br/cartucho-de-tinta-preto-e-tricolor-hp-664-de-2-ml-2-unidades/p/MLB36769417?pdp_filters=item_id:MLB3891187225#is_advertising=true&searchVariation=MLB36769417&backend_model=search-backend&position=1&search_layout=grid&type=pad&tracking_id=a1ba95f9-c922-4a4c-bf02-f9082815bc94&ad_domain=VQCATCORE_LST&ad_position=1&ad_click_id=MWNmNDg4ZDctMjJjNy00NWFmLWE1NzUtZTYzMjg2MzU4MjVm
Kit Cartucho Hp 664xl Preto + Hp 664xl Colorido Original,"449,90",500,Tec Print,+100mil vendas,Verde,4.9,103,93.2,3.88,0.97,0.0,1.94,https://produto.mercadolivre.com.br/MLB-1805271102-kit-cartucho-hp-664xl-preto-hp-664xl-colorido-original-_JM#is_advertising=true&backend_model=search-backend&position=10&search_layout=grid&type=pad&tracking_id=a1ba95f9-c922-4a4c-bf02-f9082815bc94&ad_domain=VQCATCORE_LST&ad_position=10&ad_click_id=NmE2NDY2YzctOTdiMi00MTgzLWI1NGUtNGEwYzVlODU0OWU4
Kit Cartuchos Hp 664xl Preto Color 3635 3700 3836 3775 3776/,"389,22",3,TORPILE_STORE,+100 vendas,Verde,0.0,0,,,,,,https://produto.mercadolivre.com.br/MLB-3197812638-kit-cartuchos-hp-664xl-preto-color-3635-3700-3836-3775-3776-_JM#polycard_client=search-nordic&search_layout=grid&position=44&type=item&tracking_id=a1ba95f9-c922-4a4c-bf02-f9082815bc94&wid=MLB3197812638&sid=search
Cartucho De Tinta Hp 664 Preto Advantage Original,"78,80",100,ESHOP,MercadoLíder,Verde,4.3,13,69.23,7.69,15.38,0.0,7.69,https://produto.mercadolivre.com.br/MLB-5211185274-cartucho-de-tinta-hp-664-preto-advantage-original-_JM#polycard_client=search-nordic&search_layout=grid&position=49&type=item&tracking_id=a1ba95f9-c922-4a4c-bf02-f9082815bc94&wid=MLB5211185274&sid=search
